xg_team,fd_team
Arsenal,Arsenal
Aston Villa,Aston Villa
Bournemouth,Bournemouth
Brentford,Brentford
Brighton,Brighton
Burnley,Burnley
Cardiff City,Cardiff
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Fulham,Fulham
Huddersfield,Huddersfield
Leeds United,Leeds
Leicester City,Leicester
Luton Town,Luton
Liverpool,Liverpool
Manchester City,Man City
Manchester Utd,Man United
Newcastle Utd,Newcastle
Norwich City,Norwich
Nott'ham Forest,Nott'm Forest
Sheffield Utd,Sheffield United
Southampton,Southampton
Tottenham,Tottenham
Watford,Watford
West Brom,West Brom
West Ham,West Ham
Wolves,Wolves
