"","xg_team","fd_team"
"1","AFC Bournemouth","Bournemouth"
"2","Arsenal","Arsenal"
"3","Aston Villa","Aston Villa"
"4","Brentford","Brentford"
"5","Brighton and Hove Albion","Brighton"
"6","Burnley","Burnley"
"7","Cardiff City","Cardiff"
"8","Chelsea","Chelsea"
"9","Crystal Palace","Crystal Palace"
"10","Everton","Everton"
"11","Fulham","Fulham"
"12","Huddersfield Town","Huddersfield"
"13","Leeds United","Leeds"
"14","Leicester City","Leicester"
"15","Liverpool","Liverpool"
"16","Manchester City","Man City"
"17","Manchester United","Man United"
"18","Newcastle","Newcastle"
"19","Norwich City","Norwich"
"20","Sheffield United","Sheffield United"
"21","Southampton","Southampton"
"22","Tottenham Hotspur","Tottenham"
"23","Watford","Watford"
"24","West Bromwich Albion","West Brom"
"25","West Ham United","West Ham"
"26","Wolverhampton","Wolves"
"27","Nottingham Forest","Nott'm Forest"
