"","team1","n"
"1","AFC Bournemouth",76
"2","Arsenal",114
"3","Aston Villa",57
"4","Brentford",19
"5","Brighton and Hove Albion",95
"6","Burnley",114
"7","Cardiff City",19
"8","Chelsea",114
"9","Crystal Palace",114
"10","Everton",114
"11","Fulham",38
"12","Huddersfield Town",38
"13","Hull City",19
"14","Leeds United",38
"15","Leicester City",114
"16","Liverpool",114
"17","Manchester City",114
"18","Manchester United",114
"19","Middlesbrough",19
"20","Newcastle",95
"21","Norwich City",38
"22","Sheffield United",38
"23","Southampton",114
"24","Stoke City",38
"25","Sunderland",19
"26","Swansea City",38
"27","Tottenham Hotspur",114
"28","Watford",95
"29","West Bromwich Albion",57
"30","West Ham United",114
"31","Wolverhampton",76
